iter	RMSE
0	1.117124222
1	1.108125396
2	1.099693843
3	1.091900553
4	1.084653659
5	1.077899668
6	1.071603959
7	1.065704944
8	1.060297578
9	1.055261355
10	1.050608571
11	1.046085203
12	1.042049426
13	1.038219579
14	1.034660335
15	1.031388456
16	1.028224354
17	1.025314495
18	1.022749475
19	1.020243411
20	1.017931701
21	1.01575868
22	1.013754598
23	1.011955027
24	1.010250439
25	1.008613102
26	1.007142877
27	1.005724228
28	1.004456033
29	1.00324467
30	1.002090542
31	1.001015573
32	0.9999813576
33	0.999070331
34	0.9981514227
35	0.9973362014
36	0.9965826172
37	0.9958969105
38	0.9952182997
39	0.9946043525
40	0.9940105895
41	0.9934947816
42	0.9929411574
43	0.9924613879
44	0.9920090761
45	0.9915755772
46	0.9911754713
47	0.9907991313
48	0.990400137
49	0.990064275
50	0.9897231846
51	0.9893930688
52	0.9891155476
53	0.9888628203
54	0.9885542294
55	0.9882641765
56	0.9880345369
57	0.9878077669
58	0.9875474168
59	0.9873411587
60	0.9871305442
61	0.9869112487
62	0.9867061086
63	0.9865337266
64	0.9863417624
65	0.9861239066
66	0.9859192084
67	0.9856994575
68	0.9855220692
69	0.9853633662
70	0.9852093301
71	0.9850624398
72	0.9848974527
73	0.9847664672
74	0.9846133857
75	0.9844866219
76	0.9843342197
77	0.9842020679
78	0.9841044776
79	0.9840031553
80	0.983877808
81	0.9837430898
82	0.9835858115
83	0.9834589483
84	0.9833249785
85	0.9832232498
86	0.9830918213
87	0.9829714463
88	0.982852969
89	0.9827122475
90	0.9826081057
91	0.9825115252
92	0.9824179361
93	0.9823070718
94	0.9821858063
95	0.9820896534
96	0.981984856
97	0.9819020531
98	0.9818223467
99	0.9817118241
100	0.9816000827
101	0.9814802533
102	0.9814109835
103	0.9813564445
104	0.9812607832
105	0.9811984022
106	0.9810961731
107	0.9810080617
108	0.9809451621
109	0.980860106
110	0.9807743592
111	0.9806887171
112	0.9805705482
113	0.9805113802
114	0.980427932
115	0.9803199517
116	0.9801837282
117	0.9800992309
118	0.9800085349
119	0.9799236924
120	0.9798798428
121	0.9797685982
122	0.9796734978
123	0.9795834458
124	0.9795115361
125	0.9794394532
126	0.9793316905
127	0.9792758495
128	0.9792153066
129	0.9791601023
130	0.9790946825
131	0.979037361
132	0.9789434932
133	0.9788714425
134	0.9787901288
135	0.9786881903
136	0.9786306138
137	0.9785520796
138	0.978469701
139	0.9783660203
140	0.9782942235
141	0.9782236243
142	0.9781625711
143	0.9781157784
144	0.9780649707
145	0.9779856789
146	0.9779469045
147	0.9778886662
148	0.9778380086
149	0.9777621192
150	0.977712745
151	0.9776799635
152	0.9776402537
153	0.9775950462
154	0.9775268232
155	0.9774540557
156	0.9773672709
157	0.9772669035
158	0.977231152
159	0.9771911698
160	0.9771324827
161	0.9770376668
162	0.976987213
163	0.9769316157
164	0.9768572277
165	0.9768354293
166	0.9767956098
167	0.9767629654
168	0.9767295147
169	0.9766690701
170	0.9766110543
171	0.976533998
172	0.9764724869
173	0.9764277438
174	0.9763672596
175	0.9763031818
176	0.9762384221
177	0.976181583
178	0.9761304792
179	0.9760673461
180	0.9760019129
181	0.9759571064
182	0.9759138564
183	0.9759099485
184	0.975837628
185	0.9757495246
186	0.9756594198
187	0.9755708619
188	0.975509585
189	0.9754408863
190	0.9753356215
191	0.9752877326
192	0.9752506608
193	0.9752104933
194	0.9751295122
195	0.9750498101
196	0.9749835961
197	0.9749521628
198	0.9749091264
199	0.9748454814
200	0.9747970243
201	0.9747387229
202	0.9746767454
203	0.9746086014
204	0.9745103024
205	0.9744044701
206	0.9743669082
207	0.9743221234
208	0.9742475056
209	0.9742091357
210	0.9741718633
211	0.9741216431
212	0.9740569064
213	0.9740242639
214	0.9739772846
215	0.9738624087
216	0.9738157066
217	0.9737532749
218	0.9737181199
219	0.9736863363
220	0.9736251903
221	0.9735729428
222	0.9735379604
223	0.9734548668
224	0.9733888689
225	0.9733162719
226	0.9732478491
227	0.9731888126
228	0.9731424415
229	0.9730855678
230	0.9730124917
231	0.9729759678
232	0.9729385816
233	0.9728772663
234	0.9727781652
235	0.972747838
236	0.972681823
237	0.9726366341
238	0.9725811107
239	0.9725470302
240	0.9724805748
241	0.9724420297
242	0.9723953942
243	0.9723490567
244	0.972287104
245	0.9722384588
246	0.9721887301
247	0.972104013
248	0.9720734107
249	0.972007878
250	0.9719280245
251	0.9718791154
252	0.9718219138
253	0.9717931566
254	0.971744069
255	0.9717100636
256	0.9716623443
257	0.9715778472
258	0.971499933
259	0.971433526
260	0.971380296
261	0.971314299
262	0.9712373326
263	0.9711780109
264	0.9711395042
265	0.9710849618
266	0.9710353207
267	0.9709700084
268	0.9709225097
269	0.9708346117
270	0.9707802405
271	0.9707455015
272	0.9706850279
273	0.970621871
274	0.9706053182
275	0.9705548546
276	0.9704953289
277	0.9704357295
278	0.9703405815
279	0.97025088
280	0.9701857657
281	0.970137691
282	0.9701108456
283	0.9700809183
284	0.9700191895
285	0.9699499672
286	0.9698949937
287	0.9698343458
288	0.9697536752
289	0.9697194632
290	0.9696544508
291	0.9695964568
292	0.9695292416
293	0.9694774485
294	0.969383392
295	0.9692977657
296	0.9692539289
297	0.9692056288
298	0.9691215525
299	0.9690897416
300	0.9690070575
301	0.9689754845
302	0.9689079521
303	0.9688308922
304	0.9687878094
305	0.9687439769
306	0.9686917149
307	0.9686408631
308	0.9685922383
309	0.968511983
310	0.9684383897
311	0.9683570126
312	0.9682607231
313	0.9682145549
314	0.9681470728
315	0.9680668342
316	0.967999616
317	0.9679277932
318	0.9678672807
319	0.9678164566
320	0.9677804517
321	0.9677275997
322	0.9676229282
323	0.9675452886
324	0.9674554902
325	0.9673902016
326	0.9672836392
327	0.9672440123
328	0.9671602298
329	0.9670971636
330	0.9669593642
331	0.9668837656
332	0.9668521658
333	0.9667644244
334	0.9667016342
335	0.9666105741
336	0.9665692703
337	0.9664804548
338	0.9664133781
339	0.9663245547
340	0.9662913182
341	0.96624065
342	0.9661970723
343	0.9661110401
344	0.9660508665
345	0.9659324109
346	0.9658191876
347	0.9657315072
348	0.9656290926
349	0.9655770281
350	0.9654970385
351	0.9654198336
352	0.9653577573
353	0.9652812144
354	0.9652304034
355	0.9651665385
356	0.9650702867
357	0.96496129
358	0.9649100713
359	0.9647986926
360	0.9646876858
361	0.9645779335
362	0.9645206026
363	0.9644525251
364	0.9643843413
365	0.964336576
366	0.9642725586
367	0.9642013668
368	0.9641147941
369	0.9640349116
370	0.9639356533
371	0.9638610962
372	0.9637926891
373	0.9637189299
374	0.9636297859
375	0.963594373
376	0.9635313722
377	0.963464304
378	0.9634071015
379	0.9632950892
380	0.9632016062
381	0.9631222072
382	0.9630476917
383	0.9629774601
384	0.9629210148
385	0.9628088112
386	0.9627235862
387	0.9626719471
388	0.9625181727
389	0.962440288
390	0.9623510682
391	0.9622585419
392	0.9621820211
393	0.9620848965
394	0.9620283514
395	0.9619871796
396	0.9619222647
397	0.9618513343
398	0.9617773965
399	0.9617164034
400	0.9616606971
401	0.961578364
402	0.9614746602
403	0.9613817924
404	0.961349155
405	0.9612742868
406	0.9611639296
407	0.9611099696
408	0.961011809
409	0.9609222132
410	0.9608735587
411	0.9608097993
412	0.9607563938
413	0.9606924441
414	0.9606386038
415	0.9605891513
416	0.9604945248
417	0.9604417812
418	0.9603871293
419	0.9603265002
420	0.9602511721
421	0.9601610674
422	0.9600946763
423	0.9600120775
424	0.959952487
425	0.9598587336
426	0.9597682961
427	0.9597041385
428	0.959636073
429	0.9595765409
430	0.9595164471
431	0.9594385766
432	0.9593332433
433	0.9592738013
434	0.9592172613
435	0.9591431706
436	0.9591219104
437	0.959047214
438	0.9589487863
439	0.9588823227
440	0.9588111713
441	0.9587740311
442	0.9587046551
443	0.9586660837
444	0.9585984568
445	0.9584938956
446	0.9584538995
447	0.9583775578
448	0.958304382
449	0.9582162046
450	0.9581652245
451	0.9580946928
452	0.9580118627
453	0.9579683687
454	0.9578796389
455	0.9577928066
456	0.9577434528
457	0.9576664168
458	0.9576086416
459	0.9575383935
460	0.9574675484
461	0.9574248538
462	0.9573640574
463	0.9573122504
464	0.9572330917
465	0.9571676749
466	0.9570971177
467	0.9570457966
468	0.9569880586
469	0.9569242132
470	0.9568252435
471	0.9567343713
472	0.9566379749
473	0.9565582229
474	0.9565010349
475	0.95644264
476	0.9563841269
477	0.9563043597
478	0.956251266
479	0.9561928553
480	0.9560988573
481	0.9560464527
482	0.9559931635
483	0.9559120047
484	0.9558746178
485	0.9558086789
486	0.9557558388
487	0.9556609659
488	0.955559563
489	0.9555077073
490	0.9554524164
491	0.9553596249
492	0.9553207748
493	0.9552253211
494	0.9551817154
495	0.9551371651
496	0.9550698324
497	0.9549685744
498	0.9548972449
499	0.9548158404
500	0.9547401812
501	0.9546764871
502	0.9546095018
503	0.9545549763
504	0.9544838733
505	0.9544185431
506	0.9543517844
507	0.9542554435
508	0.9541991978
509	0.9540887699
510	0.9540002929
511	0.9539161621
512	0.9538879212
513	0.9538252993
514	0.9537633016
515	0.9536953333
516	0.9536305276
517	0.9535726814
518	0.9535100869
519	0.9534340308
520	0.9533790934
521	0.9533415354
522	0.9532588653
523	0.9531980802
524	0.9531285617
525	0.9530652247
526	0.9529894966
527	0.9529352674
528	0.9528662545
529	0.952772225
530	0.9526863127
531	0.952591609
532	0.9525381015
533	0.9524609114
534	0.9523997033
535	0.9523137143
536	0.9522676647
537	0.9521737238
538	0.9521008794
539	0.9520561479
540	0.9520296419
541	0.951985395
542	0.9518891873
543	0.9518474578
544	0.9518194171
545	0.9517606756
546	0.9516877292
547	0.9516148796
548	0.9515180373
549	0.951472489
550	0.9514280829
551	0.9513653999
552	0.9512667617
553	0.9512025591
554	0.9511586779
555	0.9510773609
556	0.950993933
557	0.9509260891
558	0.9508581991
559	0.9507917936
560	0.950710899
561	0.950623767
562	0.9505381701
563	0.9504949252
564	0.9504271284
565	0.9503508011
566	0.9502920389
567	0.9501954889
568	0.9501194419
569	0.9500891568
570	0.9499920042
571	0.9499356694
572	0.9498461638
573	0.9498054793
574	0.949700545
575	0.9496033554
576	0.9495362894
577	0.9494728863
578	0.949391843
579	0.949339265
580	0.9492832795
581	0.949219208
582	0.9491589217
583	0.9490943837
584	0.9490563303
585	0.9489786002
586	0.9489529439
587	0.9489101817
588	0.9488560621
589	0.9487651825
590	0.9487187782
591	0.9486309773
592	0.9485700069
593	0.9484873432
594	0.9484280656
595	0.948371421
596	0.9482846783
597	0.9482424995
598	0.9482000652
599	0.9481441894
600	0.9480652759
601	0.9479762993
602	0.947910825
603	0.9478733909
604	0.9477814673
605	0.94768143
606	0.9476048635
607	0.9475276535
608	0.9474352853
609	0.9473772328
610	0.947306414
611	0.9472362201
612	0.9471804094
613	0.9471063463
614	0.9470728105
615	0.9469846914
616	0.9469334419
617	0.9468945356
618	0.9468425592
619	0.9468119409
620	0.9467683376
621	0.9466933315
622	0.9466423804
623	0.9465494683
624	0.9464826132
625	0.9464314266
626	0.9463616792
627	0.9462933548
628	0.9462122765
629	0.9461322587
630	0.9460652289
631	0.9459980051
632	0.9459295865
633	0.9458953144
634	0.9458189375
635	0.9457776175
636	0.9456978934
637	0.945646575
638	0.9455866176
639	0.9455274557
640	0.9454781621
641	0.9453905114
642	0.9453222803
643	0.945288146
644	0.9452238811
645	0.9451697247
646	0.9450792454
647	0.9450401725
648	0.9449777061
649	0.9449074524
650	0.9448721602
651	0.9448216247
652	0.9447742543
653	0.9447409572
654	0.9446784374
655	0.9445913482
656	0.944505501
657	0.9444376307
658	0.944388808
659	0.9443420196
660	0.9442817695
661	0.9442460387
662	0.9441955857
663	0.9441041396
664	0.9440544396
665	0.9440315387
666	0.9440124495
667	0.9439766797
668	0.9438942827
669	0.943808901
670	0.9437620037
671	0.9436831316
672	0.9436088236
673	0.9435310653
674	0.9434409187
675	0.9433592999
676	0.9433220894
677	0.9432480202
678	0.9432098001
679	0.9431411658
680	0.9430852646
681	0.9430308016
682	0.9429835795
683	0.9429397648
684	0.9428823724
685	0.9428273075
686	0.9427761181
687	0.9427008157
688	0.9426079734
689	0.9425695179
690	0.9425332777
691	0.9424913085
692	0.9424631665
693	0.9424157461
694	0.9423382994
695	0.9422603923
