iter	Passed	Remaining
0	148	147902
1	245	122584
2	343	114110
3	442	110074
4	537	106935
5	633	104996
6	740	105048
7	838	103989
8	938	103312
9	1046	103565
10	1152	103610
11	1256	103451
12	1351	102646
13	1448	102049
14	1565	102774
15	1672	102888
16	1765	102077
17	1859	101447
18	1952	100801
19	2045	100235
20	2138	99717
21	2233	99283
22	2327	98868
23	2420	98415
24	2519	98256
25	2617	98052
26	2722	98121
27	2825	98071
28	2928	98059
29	3025	97813
30	3129	97809
31	3233	97816
32	3339	97861
33	3444	97872
34	3557	98089
35	3662	98086
36	3768	98072
37	3869	97957
38	3974	97940
39	4092	98221
40	4213	98566
41	4337	98936
42	4462	99320
43	4580	99518
44	4707	99896
45	4813	99825
46	4921	99784
47	5021	99595
48	5139	99750
49	5240	99564
50	5346	99481
51	5453	99413
52	5571	99543
53	5704	99928
54	5823	100066
55	5937	100088
56	6047	100046
57	6156	99992
58	6270	100007
59	6375	99887
60	6484	99821
61	6592	99733
62	6696	99599
63	6800	99461
64	6896	99202
65	6999	99052
66	7122	99178
67	7247	99333
68	7346	99122
69	7442	98884
70	7539	98652
71	7645	98548
72	7745	98361
73	7840	98118
74	7937	97900
75	8032	97659
76	8132	97489
77	8228	97265
78	8320	96999
79	8415	96776
80	8512	96574
81	8611	96407
82	8713	96264
83	8807	96046
84	8907	95890
85	9003	95690
86	9099	95490
87	9196	95307
88	9291	95103
89	9394	94988
90	9489	94786
91	9585	94607
92	9682	94432
93	9776	94232
94	9872	94045
95	9966	93853
96	10069	93736
97	10171	93621
98	10275	93519
99	10371	93345
100	10466	93165
101	10565	93018
102	10662	92858
103	10769	92786
104	10882	92757
105	10989	92684
106	11107	92704
107	11231	92759
108	11378	93014
109	11536	93342
110	11675	93511
111	11780	93406
112	11879	93252
113	11975	93075
114	12088	93027
115	12193	92921
116	12291	92761
117	12388	92601
118	12485	92431
119	12584	92285
120	12682	92130
121	12796	92089
122	12901	91987
123	13000	91841
124	13092	91645
125	13185	91464
126	13298	91416
127	13404	91317
128	13536	91395
129	13656	91394
130	13781	91421
131	13894	91368
132	14016	91371
133	14127	91303
134	14239	91238
135	14339	91096
136	14438	90951
137	14542	90837
138	14639	90679
139	14738	90538
140	14832	90365
141	14925	90185
142	15023	90036
143	15123	89903
144	15218	89735
145	15316	89589
146	15407	89402
147	15503	89248
148	15600	89100
149	15697	88953
150	15794	88804
151	15885	88626
152	15983	88483
153	16074	88304
154	16168	88145
155	16262	87983
156	16361	87851
157	16459	87713
158	16551	87544
159	16646	87393
160	16740	87239
161	16837	87096
162	16929	86932
163	17025	86787
164	17119	86637
165	17211	86474
166	17303	86312
167	17395	86148
168	17487	85987
169	17580	85835
170	17673	85678
171	17769	85539
172	17867	85411
173	17960	85261
174	18056	85121
175	18153	84990
176	18249	84853
177	18342	84704
178	18436	84562
179	18531	84419
180	18627	84287
181	18719	84135
182	18812	83986
183	18843	83566
184	18941	83442
185	19036	83310
186	19131	83175
187	19234	83076
188	19331	82951
189	19427	82822
190	19524	82697
191	19617	82557
192	19711	82420
193	19802	82272
194	19898	82146
195	19993	82015
196	20088	81882
197	20182	81751
198	20275	81612
199	20369	81479
200	20461	81336
201	20557	81213
202	20656	81100
203	20761	81012
204	20860	80897
205	20962	80796
206	21058	80672
207	21153	80547
208	21258	80454
209	21369	80390
210	21463	80257
211	21563	80151
212	21667	80056
213	21760	79923
214	21854	79793
215	21949	79670
216	22044	79544
217	22143	79431
218	22238	79306
219	22332	79177
220	22428	79059
221	22524	78936
222	22617	78806
223	22714	78690
224	22812	78576
225	22910	78462
226	23003	78334
227	23098	78211
228	23197	78100
229	23307	78030
230	23423	77975
231	23522	77867
232	23624	77767
233	23728	77675
234	23836	77594
235	23950	77533
236	24071	77497
237	24187	77440
238	24318	77433
239	24439	77391
240	24551	77321
241	24659	77240
242	24756	77120
243	24852	77003
244	24947	76880
245	25042	76756
246	25136	76630
247	25231	76509
248	25323	76376
249	25426	76278
250	25525	76169
251	25623	76056
252	25724	75954
253	25818	75830
254	25912	75706
255	26007	75583
256	26101	75460
257	26195	75336
258	26291	75221
259	26386	75101
260	26484	74987
261	26580	74871
262	26675	74752
263	26781	74664
264	26877	74547
265	26979	74446
266	27079	74343
267	27174	74223
268	27268	74100
269	27364	73985
270	27460	73870
271	27551	73740
272	27644	73616
273	27748	73524
274	27846	73413
275	27943	73301
276	28043	73197
277	28142	73088
278	28235	72968
279	28334	72860
280	28430	72746
281	28527	72632
282	28629	72533
283	28733	72440
284	28832	72333
285	28926	72214
286	29023	72103
287	29121	71994
288	29221	71889
289	29317	71776
290	29420	71680
291	29519	71574
292	29615	71460
293	29721	71372
294	29820	71265
295	29918	71158
296	30015	71047
297	30110	70932
298	30208	70824
299	30304	70710
300	30401	70600
301	30496	70484
302	30594	70376
303	30692	70269
304	30785	70150
305	30880	70035
306	30975	69920
307	31071	69810
308	31167	69697
309	31264	69587
310	31360	69478
311	31457	69367
312	31553	69257
313	31648	69141
314	31746	69035
315	31843	68926
316	31939	68816
317	32035	68705
318	32133	68599
319	32226	68480
320	32318	68361
321	32413	68249
322	32510	68140
323	32613	68044
324	32709	67934
325	32804	67823
326	32904	67719
327	32996	67602
328	33096	67501
329	33202	67411
330	33317	67339
331	33425	67254
332	33528	67157
333	33624	67047
334	33730	66956
335	33855	66905
336	33978	66847
337	34107	66801
338	34245	66774
339	34372	66724
340	34498	66669
341	34615	66600
342	34729	66522
343	34842	66443
344	34952	66358
345	35066	66282
346	35173	66190
347	35282	66103
348	35394	66022
349	35506	65941
350	35611	65846
351	35708	65736
352	35805	65625
353	35900	65512
354	35994	65397
355	36087	65281
356	36197	65195
357	36302	65101
358	36413	65016
359	36529	64941
360	36634	64846
361	36731	64737
362	36823	64618
363	36916	64503
364	37012	64392
365	37106	64277
366	37201	64165
367	37297	64054
368	37392	63942
369	37486	63828
370	37582	63717
371	37683	63615
372	37790	63524
373	37887	63416
374	37984	63307
375	38079	63195
376	38172	63081
377	38283	62996
378	38397	62914
379	38509	62830
380	38607	62723
381	38706	62619
382	38800	62506
383	38894	62392
384	38990	62283
385	39091	62181
386	39190	62077
387	39285	61965
388	39383	61859
389	39481	61752
390	39584	61655
391	39688	61557
392	39784	61448
393	39883	61343
394	39975	61228
395	40067	61113
396	40175	61022
397	40292	60945
398	40404	60860
399	40514	60771
400	40626	60685
401	40739	60602
402	40850	60515
403	40960	60427
404	41054	60315
405	41147	60201
406	41244	60092
407	41338	59981
408	41438	59877
409	41542	59781
410	41639	59673
411	41733	59561
412	41826	59448
413	41918	59334
414	42017	59229
415	42113	59120
416	42208	59011
417	42302	58899
418	42398	58790
419	42496	58685
420	42600	58587
421	42696	58479
422	42790	58368
423	42885	58259
424	42982	58152
425	43078	58044
426	43174	57936
427	43275	57835
428	43382	57742
429	43481	57638
430	43588	57544
431	43695	57451
432	43834	57399
433	43936	57300
434	44037	57198
435	44142	57101
436	44299	57072
437	44398	56968
438	44497	56864
439	44592	56753
440	44687	56644
441	44780	56532
442	44879	56428
443	44970	56314
444	45064	56204
445	45167	56104
446	45259	55991
447	45355	55884
448	45451	55776
449	45554	55677
450	45650	55570
451	45749	55465
452	45852	55367
453	45950	55261
454	46048	55157
455	46145	55051
456	46243	54945
457	46341	54840
458	46440	54736
459	46535	54628
460	46632	54522
461	46727	54414
462	46819	54302
463	46918	54199
464	47013	54091
465	47109	53983
466	47209	53881
467	47303	53772
468	47400	53666
469	47496	53559
470	47595	53456
471	47691	53349
472	47793	53250
473	47897	53151
474	47992	53044
475	48089	52938
476	48183	52830
477	48279	52723
478	48376	52618
479	48473	52512
480	48575	52413
481	48669	52304
482	48764	52197
483	48862	52092
484	48955	51983
485	49057	51883
486	49153	51777
487	49249	51671
488	49348	51568
489	49444	51462
490	49538	51355
491	49636	51250
492	49730	51142
493	49825	51035
494	49917	50925
495	50012	50818
496	50114	50719
497	50218	50621
498	50324	50526
499	50427	50427
500	50523	50322
501	50629	50225
502	50737	50132
503	50840	50033
504	50954	49945
505	51063	49852
506	51167	49754
507	51264	49650
508	51364	49548
509	51479	49460
510	51591	49370
511	51705	49282
512	51806	49180
513	51918	49090
514	52038	49007
515	52148	48914
516	52253	48816
517	52359	48720
518	52456	48615
519	52556	48513
520	52659	48414
521	52764	48316
522	52868	48218
523	52963	48111
524	53059	48006
525	53157	47902
526	53267	47809
527	53371	47710
528	53468	47606
529	53564	47500
530	53661	47395
531	53761	47294
532	53865	47195
533	53970	47097
534	54064	46990
535	54161	46885
536	54257	46780
537	54355	46676
538	54468	46586
539	54577	46492
540	54678	46391
541	54775	46286
542	54873	46182
543	54968	46076
544	55072	45978
545	55178	45881
546	55281	45781
547	55382	45680
548	55494	45588
549	55597	45488
550	55691	45381
551	55791	45280
552	55924	45204
553	56072	45141
554	56194	45056
555	56316	44971
556	56430	44881
557	56565	44806
558	56681	44716
559	56776	44609
560	56872	44504
561	56980	44408
562	57079	44305
563	57181	44204
564	57294	44112
565	57425	44033
566	57536	43938
567	57644	43842
568	57763	43754
569	57869	43656
570	57965	43550
571	58064	43446
572	58159	43340
573	58252	43232
574	58350	43128
575	58445	43022
576	58540	42915
577	58633	42808
578	58731	42704
579	58826	42598
580	58937	42504
581	59048	42409
582	59155	42312
583	59270	42220
584	59377	42122
585	59494	42031
586	59600	41933
587	59718	41843
588	59830	41749
589	59946	41657
590	60045	41554
591	60147	41452
592	60245	41349
593	60356	41253
594	60467	41158
595	60576	41061
596	60685	40965
